[2026-02-09 14:45:53] [INFO    ] [Worker-1] Worker-1 PaddleOCR model initialized in 7.15s | fname=INIT
[2026-02-09 14:45:53] [INFO    ] [Worker-1] Worker-1 entering processing loop | fname=INIT
[2026-02-09 14:45:53] [DEBUG   ] [Worker-1] Worker-1 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-09 14:45:53] [INFO    ] [Worker-1] Worker-1 picked up task | fname=0001_1700000354_2025_02.PDF
[2026-02-09 14:45:53] [INFO    ] [Worker-1] Worker-1 starting OCR (0.02 MB) | fname=0001_1700000354_2025_02.PDF
[2026-02-09 14:45:53] [DEBUG   ] [MainProcess] File enqueued successfully (7/20) | fname=0001_1700000446_2025_01.PDF
[2026-02-09 14:45:53] [DEBUG   ] [MainProcess] Putting file 8/20 into queue | fname=0001_1700000447_2025_01.PDF
[2026-02-09 14:46:03] [INFO    ] [Worker-0] Worker-0 OCR completed in 11.29s | fname=0001_1700000163_2025_01.PDF
[2026-02-09 14:46:03] [INFO    ] [Worker-0] Worker-0 extracted 30 lines from 2 page(s) | fname=0001_1700000163_2025_01.PDF
[2026-02-09 14:46:03] [INFO    ] [Worker-0] Worker-0 output written to ./ocr_output/0001_1700000163_2025_01.PDF.txt (0.0003s) | fname=0001_1700000163_2025_01.PDF
[2026-02-09 14:46:03] [INFO    ] [Worker-0] Worker-0 completed (OCR=11.29s, total=11.29s) | fname=0001_1700000163_2025_01.PDF
[2026-02-09 14:46:03] [DEBUG   ] [Worker-0] Worker-0 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-09 14:46:03] [INFO    ] [Worker-0] Worker-0 picked up task | fname=0001_1700000354_2025_03.PDF
[2026-02-09 14:46:03] [INFO    ] [Worker-0] Worker-0 starting OCR (0.30 MB) | fname=0001_1700000354_2025_03.PDF
[2026-02-09 14:46:03] [DEBUG   ] [MainProcess] File enqueued successfully (8/20) | fname=0001_1700000447_2025_01.PDF
[2026-02-09 14:46:03] [DEBUG   ] [MainProcess] Putting file 9/20 into queue | fname=0001_1700000448_2025_01.PDF
[2026-02-09 14:46:04] [INFO    ] [Worker-1] Worker-1 OCR completed in 11.71s | fname=0001_1700000354_2025_02.PDF
[2026-02-09 14:46:04] [INFO    ] [Worker-1] Worker-1 extracted 30 lines from 2 page(s) | fname=0001_1700000354_2025_02.PDF
[2026-02-09 14:46:04] [INFO    ] [Worker-1] Worker-1 output written to ./ocr_output/0001_1700000354_2025_02.PDF.txt (0.0001s) | fname=0001_1700000354_2025_02.PDF
[2026-02-09 14:46:04] [INFO    ] [Worker-1] Worker-1 completed (OCR=11.71s, total=11.71s) | fname=0001_1700000354_2025_02.PDF
[2026-02-09 14:46:04] [DEBUG   ] [Worker-1] Worker-1 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-09 14:46:04] [INFO    ] [Worker-1] Worker-1 picked up task | fname=0001_1700000356_2025_01.PDF
[2026-02-09 14:46:04] [INFO    ] [Worker-1] Worker-1 starting OCR (0.30 MB) | fname=0001_1700000356_2025_01.PDF
[2026-02-09 14:46:04] [DEBUG   ] [MainProcess] File enqueued successfully (9/20) | fname=0001_1700000448_2025_01.PDF
[2026-02-09 14:46:04] [DEBUG   ] [MainProcess] Putting file 10/20 into queue | fname=0001_1700000449_2025_01.PDF
[2026-02-09 14:46:08] [INFO    ] [Worker-0] Worker-0 OCR completed in 4.37s | fname=0001_1700000354_2025_03.PDF
[2026-02-09 14:46:08] [INFO    ] [Worker-0] Worker-0 extracted 15 lines from 1 page(s) | fname=0001_1700000354_2025_03.PDF
[2026-02-09 14:46:08] [INFO    ] [Worker-0] Worker-0 output written to ./ocr_output/0001_1700000354_2025_03.PDF.txt (0.0001s) | fname=0001_1700000354_2025_03.PDF
[2026-02-09 14:46:08] [INFO    ] [Worker-0] Worker-0 completed (OCR=4.37s, total=4.37s) | fname=0001_1700000354_2025_03.PDF
[2026-02-09 14:46:08] [DEBUG   ] [Worker-0] Worker-0 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-09 14:46:08] [INFO    ] [Worker-0] Worker-0 picked up task | fname=0001_1700000356_2025_02.PDF
[2026-02-09 14:46:08] [INFO    ] [Worker-0] Worker-0 starting OCR (0.02 MB) | fname=0001_1700000356_2025_02.PDF
[2026-02-09 14:46:08] [DEBUG   ] [MainProcess] File enqueued successfully (10/20) | fname=0001_1700000449_2025_01.PDF
[2026-02-09 14:46:08] [DEBUG   ] [MainProcess] Putting file 11/20 into queue | fname=0001_1700000450_2025_01.PDF
[2026-02-09 14:46:09] [INFO    ] [Worker-1] Worker-1 OCR completed in 4.41s | fname=0001_1700000356_2025_01.PDF
[2026-02-09 14:46:09] [INFO    ] [Worker-1] Worker-1 extracted 15 lines from 1 page(s) | fname=0001_1700000356_2025_01.PDF
[2026-02-09 14:46:09] [INFO    ] [Worker-1] Worker-1 output written to ./ocr_output/0001_1700000356_2025_01.PDF.txt (0.0002s) | fname=0001_1700000356_2025_01.PDF
[2026-02-09 14:46:09] [INFO    ] [Worker-1] Worker-1 completed (OCR=4.41s, total=4.41s) | fname=0001_1700000356_2025_01.PDF
[2026-02-09 14:46:09] [DEBUG   ] [Worker-1] Worker-1 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-09 14:46:09] [INFO    ] [Worker-1] Worker-1 picked up task | fname=0001_1700000445_2025_01.PDF
[2026-02-09 14:46:09] [INFO    ] [Worker-1] Worker-1 starting OCR (0.02 MB) | fname=0001_1700000445_2025_01.PDF
[2026-02-09 14:46:09] [DEBUG   ] [MainProcess] File enqueued successfully (11/20) | fname=0001_1700000450_2025_01.PDF
[2026-02-09 14:46:09] [DEBUG   ] [MainProcess] Putting file 12/20 into queue | fname=0001_1700000451_2025_01.PDF
