[2026-02-10 10:01:38] [INFO    ] [Worker-2] Worker-2 OCR completed in 16.13s | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:38] [INFO    ] [Worker-2] Worker-2 extracted 30 lines from 2 page(s) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:38] [INFO    ] [Worker-2] Worker-2 output written to ./ocr_output/0001_1700000356_2025_02.PDF.txt (0.0002s) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:38] [INFO    ] [Worker-2] Worker-2 completed (OCR=16.13s, total=16.13s) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:38] [DEBUG   ] [Worker-2] Worker-2 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:38] [INFO    ] [Worker-2] Worker-2 picked up task | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:38] [INFO    ] [Worker-2] Worker-2 starting OCR (0.01 MB) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:40] [INFO    ] [Worker-3] Worker-3 OCR completed in 18.23s | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:40] [INFO    ] [Worker-3] Worker-3 extracted 30 lines from 2 page(s) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:40] [INFO    ] [Worker-3] Worker-3 output written to ./ocr_output/0001_1700000446_2025_01.PDF.txt (0.0003s) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:40] [INFO    ] [Worker-3] Worker-3 completed (OCR=18.23s, total=18.23s) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:40] [DEBUG   ] [Worker-3] Worker-3 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:40] [INFO    ] [Worker-3] Worker-3 picked up task | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:01:40] [INFO    ] [Worker-3] Worker-3 starting OCR (0.25 MB) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:01:44] [INFO    ] [Worker-1] Worker-1 OCR completed in 7.87s | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:01:44] [INFO    ] [Worker-1] Worker-1 extracted 15 lines from 1 page(s) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:01:44] [INFO    ] [Worker-1] Worker-1 output written to ./ocr_output/0001_1700000451_2025_01.PDF.txt (0.0003s) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:01:44] [INFO    ] [Worker-1] Worker-1 completed (OCR=7.87s, total=7.87s) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:01:44] [DEBUG   ] [Worker-1] Worker-1 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:44] [INFO    ] [Worker-1] Worker-1 picked up task | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:44] [INFO    ] [Worker-1] Worker-1 starting OCR (0.24 MB) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:46] [INFO    ] [Worker-2] Worker-2 OCR completed in 7.66s | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:46] [INFO    ] [Worker-2] Worker-2 extracted 15 lines from 1 page(s) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:46] [INFO    ] [Worker-2] Worker-2 output written to ./ocr_output/0001_1700000454_2025_01.PDF.txt (0.0002s) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:46] [INFO    ] [Worker-2] Worker-2 completed (OCR=7.66s, total=7.66s) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:46] [DEBUG   ] [Worker-2] Worker-2 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:46] [DEBUG   ] [MainProcess] All sentinels sent | fname=SHUTDOWN
[2026-02-10 10:01:46] [INFO    ] [Worker-2] Worker-2 picked up task | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:46] [INFO    ] [MainProcess] Waiting for workers to finish... | fname=SHUTDOWN
[2026-02-10 10:01:46] [INFO    ] [Worker-2] Worker-2 starting OCR (0.17 MB) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:55] [INFO    ] [Worker-1] Worker-1 OCR completed in 10.58s | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:55] [INFO    ] [Worker-1] Worker-1 extracted 15 lines from 1 page(s) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:55] [INFO    ] [Worker-1] Worker-1 output written to ./ocr_output/0002_1700000096_2025_01.PDF.txt (0.0003s) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:55] [INFO    ] [Worker-1] Worker-1 completed (OCR=10.58s, total=10.58s) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:55] [DEBUG   ] [Worker-1] Worker-1 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:55] [INFO    ] [Worker-1] Worker-1 received sentinel. Shutting down. | fname=SENTINEL
[2026-02-10 10:01:55] [INFO    ] [Worker-1] Worker-1 summary — processed=3, failed=0, total_ocr_time=33.17s, avg_ocr_per_file=11.06s, model_init_time=7.26s | fname=SUMMARY
[2026-02-10 10:01:55] [INFO    ] [Worker-1] Worker-1 exiting | fname=SHUTDOWN
[2026-02-10 10:01:57] [INFO    ] [Worker-4] Worker-4 OCR completed in 34.77s | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:01:57] [INFO    ] [Worker-4] Worker-4 extracted 45 lines from 3 page(s) | fname=0001_1700000448_2025_01.PDF
